time,pedestrians,bicyclists,cars,buses,trucks
2019-10-01T00:00:00-04:00,0,0,4,0,0
2019-10-01T01:00:00-04:00,0,2,1,0,0
2019-10-01T02:00:00-04:00,0,1,0,0,0
2019-10-01T03:00:00-04:00,0,4,0,0,0
2019-10-01T04:00:00-04:00,0,1,0,0,0
2019-10-01T05:00:00-04:00,0,13,2,0,0
2019-10-01T06:00:00-04:00,0,11,29,1,0
2019-10-01T07:00:00-04:00,0,0,229,10,22
2019-10-01T08:00:00-04:00,0,0,353,10,18
2019-10-01T09:00:00-04:00,1,0,483,12,20
2019-10-01T10:00:00-04:00,0,0,357,8,10
2019-10-01T11:00:00-04:00,0,0,281,5,11
2019-10-01T12:00:00-04:00,1,0,530,10,26
2019-10-01T13:00:00-04:00,0,1,396,5,31
2019-10-01T14:00:00-04:00,0,0,413,18,50
2019-10-01T15:00:00-04:00,1,0,727,5,113
2019-10-01T16:00:00-04:00,2,3,570,6,106
2019-10-01T17:00:00-04:00,7,2,676,2,127
2019-10-01T18:00:00-04:00,0,1,674,5,111
2019-10-01T19:00:00-04:00,2,1,242,0,24
2019-10-01T20:00:00-04:00,0,0,121,0,0
2019-10-01T21:00:00-04:00,0,1,62,0,0
2019-10-01T22:00:00-04:00,0,2,27,0,1
2019-10-01T23:00:00-04:00,0,3,12,0,0
2019-10-02T00:00:00-04:00,0,1,5,0,0
2019-10-02T01:00:00-04:00,0,0,1,0,0
2019-10-02T02:00:00-04:00,0,1,1,0,0
2019-10-02T03:00:00-04:00,0,5,0,0,0
2019-10-02T04:00:00-04:00,0,0,2,0,0
2019-10-02T05:00:00-04:00,0,0,3,0,0
2019-10-02T06:00:00-04:00,0,1,25,0,1
2019-10-02T07:00:00-04:00,1,0,212,11,27
2019-10-02T08:00:00-04:00,0,1,452,11,46
2019-10-02T09:00:00-04:00,2,1,466,10,16
2019-10-02T10:00:00-04:00,0,0,380,12,24
2019-10-02T11:00:00-04:00,0,0,314,10,10
2019-10-02T12:00:00-04:00,1,0,464,15,30
2019-10-02T13:00:00-04:00,3,0,411,9,37
2019-10-02T14:00:00-04:00,0,0,478,4,66
2019-10-02T15:00:00-04:00,3,2,601,7,78
2019-10-02T16:00:00-04:00,2,0,660,14,122
2019-10-02T17:00:00-04:00,6,3,749,4,136
2019-10-02T18:00:00-04:00,3,1,702,3,104
2019-10-02T19:00:00-04:00,0,0,230,1,18
2019-10-02T20:00:00-04:00,0,0,117,0,0
2019-10-02T21:00:00-04:00,0,0,60,0,2
2019-10-02T22:00:00-04:00,0,0,34,0,0
2019-10-02T23:00:00-04:00,0,2,4,0,0
2019-10-03T00:00:00-04:00,0,0,9,0,0
2019-10-03T01:00:00-04:00,0,0,2,0,0
2019-10-03T02:00:00-04:00,0,0,1,0,0
2019-10-03T03:00:00-04:00,2,5,1,0,0
2019-10-03T04:00:00-04:00,0,0,2,0,1
2019-10-03T05:00:00-04:00,0,4,1,0,0
2019-10-03T06:00:00-04:00,0,7,27,1,0
2019-10-03T07:00:00-04:00,1,1,251,7,23
2019-10-03T08:00:00-04:00,1,0,412,12,46
2019-10-03T09:00:00-04:00,21,4,559,8,52
2019-10-03T10:00:00-04:00,22,5,408,13,31
2019-10-03T11:00:00-04:00,1,2,382,8,34
2019-10-03T12:00:00-04:00,3,1,518,11,60
2019-10-03T13:00:00-04:00,3,7,477,10,67
2019-10-03T14:00:00-04:00,14,7,474,5,75
2019-10-03T15:00:00-04:00,5,2,711,8,102
2019-10-03T16:00:00-04:00,4,4,747,9,117
2019-10-03T17:00:00-04:00,4,2,707,7,121
2019-10-03T18:00:00-04:00,0,0,43,0,16
2019-10-03T19:00:00-04:00,0,1,197,1,7
2019-10-03T20:00:00-04:00,0,0,159,0,3
2019-10-03T21:00:00-04:00,0,0,94,0,0
2019-10-03T22:00:00-04:00,0,0,48,0,0
2019-10-03T23:00:00-04:00,0,0,18,0,0
2019-10-04T00:00:00-04:00,0,0,14,0,0
2019-10-04T01:00:00-04:00,0,0,2,0,0
2019-10-04T02:00:00-04:00,0,0,0,0,0
2019-10-04T03:00:00-04:00,0,39,0,0,0
2019-10-04T04:00:00-04:00,0,17,3,0,1
2019-10-04T05:00:00-04:00,0,21,2,0,0
2019-10-04T06:00:00-04:00,0,9,34,1,1
2019-10-04T07:00:00-04:00,0,0,144,7,10
2019-10-04T08:00:00-04:00,2,0,324,9,22
2019-10-04T09:00:00-04:00,1,0,518,12,9
2019-10-04T10:00:00-04:00,3,0,368,11,19
2019-10-04T11:00:00-04:00,1,0,432,8,23
2019-10-04T12:00:00-04:00,2,4,567,8,30
2019-10-04T13:00:00-04:00,2,0,456,19,44
2019-10-04T14:00:00-04:00,4,5,606,4,68
2019-10-04T15:00:00-04:00,1,2,598,5,72
2019-10-04T16:00:00-04:00,0,0,551,13,99
2019-10-04T17:00:00-04:00,2,9,571,7,103
2019-10-04T18:00:00-04:00,4,1,472,5,72
2019-10-04T19:00:00-04:00,1,1,184,3,7
2019-10-04T20:00:00-04:00,0,0,78,0,1
2019-10-04T21:00:00-04:00,0,0,42,0,1
2019-10-04T22:00:00-04:00,0,0,62,0,2
2019-10-04T23:00:00-04:00,0,0,14,0,0
2019-10-05T00:00:00-04:00,0,0,8,0,0
2019-10-05T01:00:00-04:00,0,0,4,0,0
2019-10-05T02:00:00-04:00,0,0,3,0,0
2019-10-05T03:00:00-04:00,0,0,8,0,0
2019-10-05T04:00:00-04:00,0,0,0,0,0
2019-10-05T05:00:00-04:00,0,0,0,0,0
2019-10-05T06:00:00-04:00,0,1,10,0,0
2019-10-05T07:00:00-04:00,2,0,25,1,2
2019-10-05T08:00:00-04:00,1,0,72,4,2
2019-10-05T09:00:00-04:00,1,0,121,1,8
2019-10-05T10:00:00-04:00,0,0,186,3,9
2019-10-05T11:00:00-04:00,0,0,188,6,6
2019-10-05T12:00:00-04:00,4,0,289,7,19
2019-10-05T13:00:00-04:00,3,0,219,1,12
2019-10-05T14:00:00-04:00,1,0,261,2,24
2019-10-05T15:00:00-04:00,3,2,214,1,9
2019-10-05T16:00:00-04:00,4,0,255,2,30
2019-10-05T17:00:00-04:00,1,4,301,4,39
2019-10-05T18:00:00-04:00,1,0,284,3,36
2019-10-05T19:00:00-04:00,0,0,63,0,0
2019-10-05T20:00:00-04:00,1,0,37,0,3
2019-10-05T21:00:00-04:00,1,0,100,0,4
2019-10-05T22:00:00-04:00,0,1,46,0,0
2019-10-05T23:00:00-04:00,0,1,19,0,0
2019-10-06T00:00:00-04:00,0,1,7,0,0
2019-10-06T01:00:00-04:00,0,0,2,0,0
2019-10-06T02:00:00-04:00,0,0,2,0,0
2019-10-06T03:00:00-04:00,0,0,1,0,0
2019-10-06T04:00:00-04:00,0,0,2,0,0
2019-10-06T05:00:00-04:00,0,0,0,0,0
2019-10-06T06:00:00-04:00,0,0,4,0,0
2019-10-06T07:00:00-04:00,0,0,27,0,1
2019-10-06T08:00:00-04:00,0,0,65,2,0
2019-10-06T09:00:00-04:00,1,0,79,0,4
2019-10-06T10:00:00-04:00,0,0,216,2,3
2019-10-06T11:00:00-04:00,1,0,312,3,14
2019-10-06T12:00:00-04:00,2,0,160,4,9
2019-10-06T13:00:00-04:00,0,0,302,2,50
2019-10-06T14:00:00-04:00,2,0,260,3,33
2019-10-06T15:00:00-04:00,2,0,210,4,9
2019-10-06T16:00:00-04:00,0,0,195,2,9
2019-10-06T17:00:00-04:00,1,0,210,5,25
