time,pedestrians,bicyclists,cars,buses,trucks
2019-10-01T00:00:00-04:00,0,0,0,0,0
2019-10-01T01:00:00-04:00,0,0,0,0,0
2019-10-01T02:00:00-04:00,0,0,0,0,0
2019-10-01T03:00:00-04:00,0,0,0,0,0
2019-10-01T04:00:00-04:00,0,0,0,0,0
2019-10-01T05:00:00-04:00,3,0,3,0,0
2019-10-01T06:00:00-04:00,3,2,53,3,0
2019-10-01T07:00:00-04:00,20,7,444,19,19
2019-10-01T08:00:00-04:00,23,4,718,16,36
2019-10-01T09:00:00-04:00,45,11,900,9,36
2019-10-01T10:00:00-04:00,29,6,573,9,32
2019-10-01T11:00:00-04:00,17,14,460,8,28
2019-10-01T12:00:00-04:00,32,8,604,8,46
2019-10-01T13:00:00-04:00,14,13,493,7,50
2019-10-01T14:00:00-04:00,30,4,450,10,52
2019-10-01T15:00:00-04:00,23,8,489,5,26
2019-10-01T16:00:00-04:00,24,4,553,12,18
2019-10-01T17:00:00-04:00,22,5,510,13,14
2019-10-01T18:00:00-04:00,38,14,473,13,6
2019-10-01T19:00:00-04:00,8,0,74,1,0
2019-10-01T20:00:00-04:00,0,0,13,0,0
2019-10-01T21:00:00-04:00,3,0,4,0,0
2019-10-01T22:00:00-04:00,1,0,1,0,0
2019-10-01T23:00:00-04:00,0,0,1,0,2
2019-10-02T00:00:00-04:00,0,0,2,0,0
2019-10-02T01:00:00-04:00,0,0,2,0,0
2019-10-02T02:00:00-04:00,0,0,0,0,0
2019-10-02T03:00:00-04:00,0,0,0,0,0
2019-10-02T04:00:00-04:00,0,0,1,0,0
2019-10-02T05:00:00-04:00,1,0,2,0,0
2019-10-02T06:00:00-04:00,10,0,50,5,3
2019-10-02T07:00:00-04:00,37,8,373,18,20
2019-10-02T08:00:00-04:00,42,8,824,15,33
2019-10-02T09:00:00-04:00,18,3,869,9,28
2019-10-02T10:00:00-04:00,14,5,638,9,26
2019-10-02T11:00:00-04:00,18,7,537,11,32
2019-10-02T12:00:00-04:00,30,7,560,10,29
2019-10-02T13:00:00-04:00,39,9,498,8,29
2019-10-02T14:00:00-04:00,39,5,543,14,39
2019-10-02T15:00:00-04:00,29,16,477,10,29
2019-10-02T16:00:00-04:00,24,10,566,10,29
2019-10-02T17:00:00-04:00,25,1,586,16,26
2019-10-02T18:00:00-04:00,13,7,558,14,10
2019-10-02T19:00:00-04:00,8,5,123,0,2
2019-10-02T20:00:00-04:00,1,0,7,0,0
2019-10-02T21:00:00-04:00,1,0,6,0,0
2019-10-02T22:00:00-04:00,0,0,4,0,0
2019-10-02T23:00:00-04:00,0,0,1,0,0
2019-10-03T00:00:00-04:00,0,0,1,0,0
2019-10-03T01:00:00-04:00,0,0,0,0,0
2019-10-03T02:00:00-04:00,0,0,0,0,0
2019-10-03T03:00:00-04:00,0,0,1,0,0
2019-10-03T04:00:00-04:00,0,0,0,0,0
2019-10-03T05:00:00-04:00,1,0,3,0,0
2019-10-03T06:00:00-04:00,7,4,57,4,1
2019-10-03T07:00:00-04:00,64,6,446,18,30
2019-10-03T08:00:00-04:00,118,6,802,17,22
2019-10-03T09:00:00-04:00,207,30,916,12,20
2019-10-03T10:00:00-04:00,123,9,748,9,39
2019-10-03T11:00:00-04:00,93,8,577,11,25
2019-10-03T12:00:00-04:00,104,9,727,9,42
2019-10-03T13:00:00-04:00,118,9,627,9,39
2019-10-03T14:00:00-04:00,125,27,567,10,47
2019-10-03T15:00:00-04:00,114,30,740,13,30
2019-10-03T16:00:00-04:00,131,16,814,14,17
2019-10-03T17:00:00-04:00,92,22,838,14,25
2019-10-03T18:00:00-04:00,7,2,55,1,2
2019-10-03T19:00:00-04:00,8,0,70,0,0
2019-10-03T20:00:00-04:00,2,0,18,0,0
2019-10-03T21:00:00-04:00,1,0,9,0,0
2019-10-03T22:00:00-04:00,0,0,5,0,0
2019-10-03T23:00:00-04:00,1,0,2,0,0
2019-10-04T00:00:00-04:00,0,0,2,0,0
2019-10-04T01:00:00-04:00,0,0,1,0,0
2019-10-04T02:00:00-04:00,0,0,2,0,0
2019-10-04T03:00:00-04:00,0,0,1,0,0
2019-10-04T04:00:00-04:00,0,0,0,0,0
2019-10-04T05:00:00-04:00,2,0,1,0,0
2019-10-04T06:00:00-04:00,5,1,46,4,2
2019-10-04T07:00:00-04:00,15,8,348,17,8
2019-10-04T08:00:00-04:00,25,5,642,13,26
2019-10-04T09:00:00-04:00,18,8,634,9,15
2019-10-04T10:00:00-04:00,18,9,512,8,27
2019-10-04T11:00:00-04:00,16,11,545,9,25
2019-10-04T12:00:00-04:00,24,15,681,7,26
2019-10-04T13:00:00-04:00,27,7,590,11,33
2019-10-04T14:00:00-04:00,21,16,447,8,19
2019-10-04T15:00:00-04:00,24,13,562,13,22
2019-10-04T16:00:00-04:00,28,5,404,7,4
2019-10-04T17:00:00-04:00,18,0,353,7,2
2019-10-04T18:00:00-04:00,11,7,371,11,7
2019-10-04T19:00:00-04:00,0,0,57,0,1
2019-10-04T20:00:00-04:00,0,0,10,0,1
2019-10-04T21:00:00-04:00,0,0,10,0,0
2019-10-04T22:00:00-04:00,0,0,2,0,0
2019-10-04T23:00:00-04:00,0,0,9,0,0
2019-10-05T00:00:00-04:00,0,0,3,0,0
2019-10-05T01:00:00-04:00,2,0,1,0,0
2019-10-05T02:00:00-04:00,0,0,2,0,0
2019-10-05T03:00:00-04:00,0,0,4,0,0
2019-10-05T04:00:00-04:00,0,0,0,0,0
2019-10-05T05:00:00-04:00,0,0,0,0,0
2019-10-05T06:00:00-04:00,1,0,40,7,11
2019-10-05T07:00:00-04:00,5,4,159,11,12
2019-10-05T08:00:00-04:00,9,6,294,23,28
2019-10-05T09:00:00-04:00,19,2,267,17,31
2019-10-05T10:00:00-04:00,25,21,343,32,48
2019-10-05T11:00:00-04:00,29,11,386,29,35
2019-10-05T12:00:00-04:00,46,6,524,9,37
2019-10-05T13:00:00-04:00,42,7,535,24,17
2019-10-05T14:00:00-04:00,35,11,438,17,16
2019-10-05T15:00:00-04:00,10,3,378,2,8
2019-10-05T16:00:00-04:00,30,8,404,1,8
2019-10-05T17:00:00-04:00,27,12,602,12,29
2019-10-05T18:00:00-04:00,39,12,697,25,39
2019-10-05T19:00:00-04:00,3,1,74,1,2
2019-10-05T20:00:00-04:00,0,0,9,0,0
2019-10-05T21:00:00-04:00,0,0,15,0,0
2019-10-05T22:00:00-04:00,0,0,8,0,0
