time,pedestrians,bicyclists,cars,buses,trucks
2019-10-01T00:00:00-04:00,24,0,133,24,2
2019-10-01T01:00:00-04:00,12,1,91,14,1
2019-10-01T02:00:00-04:00,5,0,55,14,2
2019-10-01T03:00:00-04:00,0,0,48,0,1
2019-10-01T04:00:00-04:00,0,0,79,1,3
2019-10-01T05:00:00-04:00,2,0,109,3,1
2019-10-01T06:00:00-04:00,15,8,488,12,21
2019-10-01T07:00:00-04:00,187,25,1423,45,73
2019-10-01T08:00:00-04:00,127,34,1428,45,45
2019-10-01T09:00:00-04:00,743,91,1178,51,58
2019-10-01T10:00:00-04:00,764,155,994,39,51
2019-10-01T11:00:00-04:00,382,84,1168,33,30
2019-10-01T12:00:00-04:00,1153,119,1344,33,39
2019-10-01T13:00:00-04:00,1255,225,1437,24,39
2019-10-01T14:00:00-04:00,641,151,1483,49,45
2019-10-01T15:00:00-04:00,933,290,1500,35,38
2019-10-01T16:00:00-04:00,696,240,1767,38,28
2019-10-01T17:00:00-04:00,862,340,2223,40,31
2019-10-01T18:00:00-04:00,1195,244,2462,59,40
2019-10-01T19:00:00-04:00,375,35,1095,36,8
2019-10-01T20:00:00-04:00,98,9,738,30,8
2019-10-01T21:00:00-04:00,130,6,579,37,4
2019-10-01T22:00:00-04:00,51,4,391,28,3
2019-10-01T23:00:00-04:00,44,0,255,34,4
2019-10-02T00:00:00-04:00,37,0,182,24,3
2019-10-02T01:00:00-04:00,22,2,108,14,6
2019-10-02T02:00:00-04:00,4,0,62,14,1
2019-10-02T03:00:00-04:00,4,0,59,3,0
2019-10-02T04:00:00-04:00,0,0,68,1,3
2019-10-02T05:00:00-04:00,1,0,119,7,3
2019-10-02T06:00:00-04:00,13,2,474,23,22
2019-10-02T07:00:00-04:00,130,23,1501,38,73
2019-10-02T08:00:00-04:00,306,96,1579,44,77
2019-10-02T09:00:00-04:00,359,66,1052,49,39
2019-10-02T10:00:00-04:00,525,101,1045,36,47
2019-10-02T11:00:00-04:00,535,85,1267,33,59
2019-10-02T12:00:00-04:00,761,112,1489,32,57
2019-10-02T13:00:00-04:00,798,97,1416,29,40
2019-10-02T14:00:00-04:00,857,145,1989,47,84
2019-10-02T15:00:00-04:00,668,226,1499,36,22
2019-10-02T16:00:00-04:00,695,124,1859,38,46
2019-10-02T17:00:00-04:00,853,198,2193,47,11
2019-10-02T18:00:00-04:00,901,162,2550,47,21
2019-10-02T19:00:00-04:00,190,35,1147,41,7
2019-10-02T20:00:00-04:00,148,14,722,34,4
2019-10-02T21:00:00-04:00,100,2,667,31,2
2019-10-02T22:00:00-04:00,55,5,472,35,2
2019-10-02T23:00:00-04:00,20,2,349,35,7
2019-10-03T00:00:00-04:00,30,4,248,31,4
2019-10-03T01:00:00-04:00,13,0,124,17,0
2019-10-03T02:00:00-04:00,7,0,77,13,1
2019-10-03T03:00:00-04:00,2,0,58,0,2
2019-10-03T04:00:00-04:00,1,0,73,2,0
2019-10-03T05:00:00-04:00,3,0,145,3,3
2019-10-03T06:00:00-04:00,18,1,473,16,13
2019-10-03T07:00:00-04:00,213,23,1354,41,69
2019-10-03T08:00:00-04:00,274,81,1697,54,101
2019-10-03T09:00:00-04:00,1176,184,1601,58,67
2019-10-03T10:00:00-04:00,1285,183,1572,40,76
2019-10-03T11:00:00-04:00,750,121,1924,33,74
2019-10-03T12:00:00-04:00,1684,240,2110,27,71
2019-10-03T13:00:00-04:00,1530,212,1916,36,62
2019-10-03T14:00:00-04:00,902,187,1850,32,45
2019-10-03T15:00:00-04:00,1571,290,2166,40,54
2019-10-03T16:00:00-04:00,1365,319,2200,54,58
2019-10-03T17:00:00-04:00,1185,264,2484,43,37
2019-10-03T18:00:00-04:00,60,3,162,3,1
2019-10-03T19:00:00-04:00,233,21,1126,38,6
2019-10-03T20:00:00-04:00,148,9,723,33,4
2019-10-03T21:00:00-04:00,127,14,588,37,5
2019-10-03T22:00:00-04:00,103,3,532,31,4
2019-10-03T23:00:00-04:00,32,5,396,35,3
2019-10-04T00:00:00-04:00,57,6,290,36,2
2019-10-04T01:00:00-04:00,29,2,196,17,0
2019-10-04T02:00:00-04:00,10,0,158,22,1
2019-10-04T03:00:00-04:00,3,0,84,0,0
2019-10-04T04:00:00-04:00,2,1,75,4,3
2019-10-04T05:00:00-04:00,0,0,125,5,2
2019-10-04T06:00:00-04:00,12,2,417,17,12
2019-10-04T07:00:00-04:00,65,15,1217,30,66
2019-10-04T08:00:00-04:00,180,67,1052,39,44
2019-10-04T09:00:00-04:00,313,49,852,46,46
2019-10-04T10:00:00-04:00,500,86,1082,39,52
2019-10-04T11:00:00-04:00,841,161,1505,41,65
2019-10-04T12:00:00-04:00,1029,146,1967,27,43
2019-10-04T13:00:00-04:00,993,214,1868,31,39
2019-10-04T14:00:00-04:00,1010,255,1844,28,46
2019-10-04T15:00:00-04:00,628,222,1956,38,48
2019-10-04T16:00:00-04:00,541,164,1813,39,27
2019-10-04T17:00:00-04:00,676,190,2188,34,25
2019-10-04T18:00:00-04:00,1100,287,2436,56,28
2019-10-04T19:00:00-04:00,277,34,1327,41,5
2019-10-04T20:00:00-04:00,154,13,915,38,3
2019-10-04T21:00:00-04:00,127,9,787,29,3
