time,pedestrians,bicyclists,cars,buses,trucks
2019-10-01T00:00:00-04:00,27,4,91,8,5
2019-10-01T01:00:00-04:00,8,0,76,9,3
2019-10-01T02:00:00-04:00,10,0,25,6,1
2019-10-01T03:00:00-04:00,14,0,17,3,4
2019-10-01T04:00:00-04:00,6,0,17,0,6
2019-10-01T05:00:00-04:00,10,0,64,5,6
2019-10-01T06:00:00-04:00,38,6,211,20,28
2019-10-01T07:00:00-04:00,1028,237,456,141,90
2019-10-01T08:00:00-04:00,1024,233,600,117,86
2019-10-01T09:00:00-04:00,2698,697,608,169,106
2019-10-01T10:00:00-04:00,2743,495,408,111,126
2019-10-01T11:00:00-04:00,1429,450,388,90,92
2019-10-01T12:00:00-04:00,2636,811,556,83,68
2019-10-01T13:00:00-04:00,2335,284,508,117,93
2019-10-01T14:00:00-04:00,1043,158,456,90,59
2019-10-01T15:00:00-04:00,2130,205,565,97,62
2019-10-01T16:00:00-04:00,1871,323,833,96,46
2019-10-01T17:00:00-04:00,1360,402,980,118,56
2019-10-01T18:00:00-04:00,1274,344,1073,113,59
2019-10-01T19:00:00-04:00,599,71,543,48,24
2019-10-01T20:00:00-04:00,392,23,390,32,14
2019-10-01T21:00:00-04:00,203,10,392,20,13
2019-10-01T22:00:00-04:00,118,4,197,22,14
2019-10-01T23:00:00-04:00,51,10,168,13,11
2019-10-02T00:00:00-04:00,30,0,112,8,2
2019-10-02T01:00:00-04:00,23,0,45,9,6
2019-10-02T02:00:00-04:00,5,0,31,5,3
2019-10-02T03:00:00-04:00,14,0,26,3,4
2019-10-02T04:00:00-04:00,6,0,11,0,4
2019-10-02T05:00:00-04:00,6,0,65,2,10
2019-10-02T06:00:00-04:00,49,10,205,36,17
2019-10-02T07:00:00-04:00,923,198,407,138,126
2019-10-02T08:00:00-04:00,1637,516,616,132,102
2019-10-02T09:00:00-04:00,2426,649,640,176,102
2019-10-02T10:00:00-04:00,2269,475,480,127,93
2019-10-02T11:00:00-04:00,2159,397,470,91,112
2019-10-02T12:00:00-04:00,2313,486,459,59,66
2019-10-02T13:00:00-04:00,2118,366,532,88,101
2019-10-02T14:00:00-04:00,2198,339,527,98,74
2019-10-02T15:00:00-04:00,1599,168,561,75,56
2019-10-02T16:00:00-04:00,1651,357,825,110,47
2019-10-02T17:00:00-04:00,1586,486,888,128,50
2019-10-02T18:00:00-04:00,1426,482,1039,103,37
2019-10-02T19:00:00-04:00,697,77,547,37,23
2019-10-02T20:00:00-04:00,434,40,414,35,21
2019-10-02T21:00:00-04:00,269,20,408,23,27
2019-10-02T22:00:00-04:00,107,7,251,24,16
2019-10-02T23:00:00-04:00,25,2,172,14,11
2019-10-03T00:00:00-04:00,78,1,109,14,3
2019-10-03T01:00:00-04:00,14,0,43,8,3
2019-10-03T02:00:00-04:00,4,0,24,3,2
2019-10-03T03:00:00-04:00,22,0,22,5,6
2019-10-03T04:00:00-04:00,10,0,19,1,8
2019-10-03T05:00:00-04:00,26,0,98,3,7
2019-10-03T06:00:00-04:00,41,6,185,34,23
2019-10-03T07:00:00-04:00,913,232,531,131,120
2019-10-03T08:00:00-04:00,1287,578,646,136,81
2019-10-03T09:00:00-04:00,2899,739,670,153,109
2019-10-03T10:00:00-04:00,2948,684,559,118,91
2019-10-03T11:00:00-04:00,1531,297,668,76,83
2019-10-03T12:00:00-04:00,2992,850,751,84,116
